
2023/12/22 (11:25:48) | ===> btop++ v.1.2.13
2023/12/22 (11:25:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/25 (22:53:48) | ===> btop++ v.1.2.13
2023/12/25 (22:53:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/30 (21:04:30) | ===> btop++ v.1.2.13
2023/12/30 (21:04:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (16:25:09) | ===> btop++ v.1.2.13
2024/01/01 (16:25:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/01 (20:43:55) | ===> btop++ v.1.2.13
2024/01/01 (20:43:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/04 (02:31:09) | ===> btop++ v.1.2.13
2024/01/04 (02:31:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/09 (23:26:08) | ===> btop++ v.1.2.13
2024/01/09 (23:26:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/01/10 (21:15:42) | ERROR: No response from Runner thread, quitting!

2024/01/21 (20:41:20) | ===> btop++ v.1.2.13
2024/01/21 (20:41:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/22 (00:45:06) | ===> btop++ v.1.2.13
2024/01/22 (00:45:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
